match_id,duration,radiant heroes,dire heroes
6806047119,3439,"[66, 86, 39, 96, 70]","[33, 11, 100, 97, 93]"
6806047539,1936,"[85, 137, 9, 6, 38]","[136, 52, 3, 97, 8]"
6806047576,2971,"[137, 128, 100, 43, 12]","[15, 51, 111, 109, 106]"
6806047579,2603,"[112, 11, 51, 23, 78]","[33, 19, 50, 22, 109]"
6806047605,2726,"[11, 100, 38, 66, 74]","[137, 75, 120, 63, 22]"
6806094304,1401,"[25, 100, 87, 93, 129]","[85, 74, 61, 86, 109]"
6806097565,3242,"[75, 38, 120, 35, 51]","[137, 10, 78, 5, 85]"
6806097974,2144,"[136, 10, 22, 51, 128]","[19, 31, 52, 92, 41]"
6806101302,3412,"[85, 128, 120, 52, 109]","[136, 74, 89, 64, 28]"
6806112746,1245,"[11, 128, 19, 61, 70]","[51, 92, 39, 87, 104]"
6806133891,1618,"[57, 123, 31, 52, 44]","[136, 11, 66, 9, 70]"
6806142086,1831,"[33, 19, 109, 40, 102]","[75, 52, 18, 78, 14]"
6806146943,2083,"[85, 43, 123, 10, 114]","[51, 52, 128, 96, 80]"
6806155276,2141,"[7, 61, 5, 100, 54]","[136, 137, 64, 48, 129]"
6806158709,2650,"[11, 120, 7, 87, 69]","[85, 35, 13, 86, 135]"
6806174698,1731,"[123, 5, 135, 22, 14]","[66, 11, 7, 106, 69]"
6806191928,1668,"[75, 88, 137, 120, 18]","[136, 11, 89, 87, 28]"
6806203596,2989,"[85, 13, 19, 109, 43]","[51, 126, 86, 11, 129]"
6806205877,3227,"[137, 112, 13, 78, 80]","[33, 79, 7, 126, 70]"
6806227577,2336,"[136, 10, 19, 66, 43]","[137, 58, 13, 29, 25]"
6806228770,1797,"[136, 92, 129, 111, 48]","[137, 86, 18, 11, 33]"
6806244566,2637,"[33, 120, 30, 88, 44]","[75, 100, 43, 129, 46]"
6806278486,3365,"[31, 7, 13, 29, 89]","[136, 65, 38, 101, 35]"
6806282012,3051,"[137, 69, 93, 31, 13]","[58, 41, 136, 33, 106]"
6806282981,2874,"[128, 52, 19, 114, 97]","[51, 10, 30, 96, 77]"
6806291706,2133,"[78, 75, 135, 106, 10]","[103, 93, 64, 126, 98]"
6806322784,2569,"[128, 97, 58, 129, 109]","[88, 11, 87, 13, 98]"
6806364123,2285,"[18, 92, 75, 14, 74]","[88, 120, 58, 38, 54]"
6806365638,2390,"[103, 15, 128, 89, 65]","[137, 10, 87, 33, 52]"
6806374409,3732,"[75, 137, 88, 89, 13]","[128, 10, 61, 71, 120]"
6806377510,2879,"[31, 137, 32, 22, 80]","[136, 79, 52, 96, 1]"
6806403033,2053,"[66, 10, 107, 52, 28]","[58, 96, 128, 4, 13]"
6806442183,2905,"[7, 92, 112, 48, 9]","[136, 11, 37, 123, 14]"
6806454246,2014,"[52, 18, 64, 61, 89]","[136, 74, 58, 41, 129]"
6806464370,2260,"[137, 74, 41, 128, 86]","[51, 52, 79, 10, 78]"
6806472970,2172,"[136, 33, 22, 114, 52]","[5, 19, 135, 72, 88]"
6806481932,1170,"[33, 11, 71, 93, 77]","[75, 107, 35, 52, 28]"
6806534528,3137,"[15, 100, 128, 70, 52]","[51, 109, 98, 119, 126]"
6806547123,1828,"[19, 92, 5, 81, 76]","[136, 10, 37, 123, 78]"
6806547565,1914,"[85, 137, 38, 14, 17]","[136, 41, 58, 110, 22]"
6806554071,1962,"[92, 51, 106, 87, 17]","[137, 128, 6, 64, 61]"
6806566779,1911,"[136, 65, 96, 46, 15]","[5, 135, 111, 14, 22]"
6806632563,1561,"[51, 11, 38, 65, 50]","[137, 128, 52, 29, 89]"
6806638898,3098,"[75, 100, 29, 52, 14]","[33, 19, 87, 93, 106]"
6806648571,2250,"[33, 11, 19, 5, 14]","[86, 58, 38, 46, 65]"
6806662696,1455,"[74, 119, 128, 95, 129]","[137, 61, 85, 123, 11]"
6806663153,2178,"[137, 10, 52, 102, 128]","[106, 66, 96, 6, 88]"
6806751717,2658,"[85, 63, 26, 18, 22]","[58, 10, 75, 78, 120]"
6806767627,4229,"[136, 66, 106, 88, 35]","[19, 31, 52, 80, 77]"
6806790160,2654,"[66, 86, 52, 129, 46]","[97, 9, 120, 54, 43]"
6807714693,2315,"[75, 19, 137, 128, 18]","[33, 7, 106, 111, 109]"
6807716914,1516,"[11, 51, 119, 129, 19]","[136, 6, 92, 18, 13]"
6807718331,3053,"[137, 58, 107, 47, 35]","[33, 19, 5, 4, 39]"
6807721747,2331,"[88, 74, 30, 38, 109]","[85, 69, 19, 92, 46]"
6807722622,2487,"[5, 129, 68, 104, 18]","[136, 52, 61, 64, 113]"
6807758884,2427,"[128, 6, 18, 52, 78]","[86, 11, 38, 68, 14]"
6807768064,2057,"[136, 81, 135, 128, 108]","[69, 5, 123, 89, 19]"
6807772726,2688,"[136, 33, 6, 100, 39]","[85, 11, 20, 129, 72]"
6807772753,2495,"[136, 85, 123, 22, 48]","[88, 52, 68, 113, 89]"
6807776673,2947,"[33, 120, 85, 109, 100]","[58, 52, 107, 22, 10]"
6807805121,3921,"[11, 128, 71, 14, 43]","[85, 61, 39, 123, 18]"
6807818563,2707,"[136, 43, 128, 14, 23]","[85, 120, 38, 27, 53]"
6807826416,1955,"[19, 33, 31, 65, 44]","[136, 11, 86, 120, 38]"
6807826682,2686,"[31, 52, 71, 93, 96]","[136, 87, 43, 65, 6]"
6807837834,1621,"[85, 11, 88, 120, 40]","[15, 103, 45, 41, 97]"
6807880611,2003,"[11, 120, 9, 102, 59]","[137, 75, 58, 39, 70]"
6807886186,1450,"[58, 41, 9, 77, 25]","[33, 80, 19, 5, 52]"
6807886590,1775,"[137, 43, 120, 50, 53]","[19, 111, 74, 11, 29]"
6807892967,1747,"[85, 123, 129, 14, 19]","[136, 58, 78, 17, 41]"
6807900926,1403,"[11, 85, 86, 69, 126]","[31, 19, 52, 92, 80]"
6807935361,3418,"[120, 121, 51, 80, 55]","[69, 75, 23, 123, 89]"
6807936112,2032,"[88, 33, 3, 17, 41]","[136, 85, 120, 6, 60]"
6807938213,2711,"[128, 11, 57, 129, 80]","[61, 88, 75, 10, 65]"
6807939991,2182,"[85, 65, 7, 25, 8]","[136, 58, 120, 54, 123]"
6807946326,2341,"[66, 6, 92, 7, 39]","[11, 88, 5, 135, 35]"
6808011785,1737,"[136, 120, 23, 27, 94]","[19, 31, 13, 46, 29]"
6808012161,2346,"[136, 5, 23, 65, 29]","[19, 33, 120, 64, 95]"
6808028757,1787,"[61, 75, 18, 94, 34]","[51, 11, 57, 14, 97]"
6808030636,2536,"[11, 88, 5, 135, 9]","[61, 35, 66, 114, 10]"
6808042242,2672,"[120, 92, 5, 51, 81]","[136, 106, 10, 75, 78]"
6808093633,1868,"[137, 128, 65, 43, 6]","[51, 10, 111, 106, 16]"
6808093837,1683,"[10, 68, 18, 120, 19]","[11, 38, 84, 101, 17]"
6808106195,2785,"[33, 19, 25, 87, 54]","[137, 85, 52, 38, 99]"
6808122743,2318,"[52, 88, 128, 10, 55]","[11, 58, 7, 92, 48]"
6808134162,3258,"[11, 137, 123, 58, 29]","[85, 120, 38, 101, 95]"
6808167860,1675,"[11, 61, 27, 84, 74]","[85, 128, 10, 2, 126]"
6808178906,2800,"[137, 111, 98, 64, 80]","[136, 10, 5, 106, 9]"
6808199906,2583,"[33, 19, 110, 13, 10]","[85, 120, 86, 35, 2]"
