hero_name,total,picks,bans,five_pick,sixseven_pick,eight_pick,fifteen_pick,sixteenseventeen_pick,eighteen_pick,twentythree_pick,twentyfour_pick,firstphase_ban,secondphase_ban,thirdphase_ban,winrate,pick_winrate,ban_winrate,league_name
Marci,181,76,105,55,17,0,2,1,0,0,1,101,3,1,0.453038674,0.5,0.419047619, The International 2022'
Enigma,163,47,116,20,14,7,1,2,1,0,2,95,17,4,0.5521472393,0.5744680851,0.5431034483, The International 2022'
Primal Beast,154,59,95,27,24,3,2,0,0,1,2,85,4,6,0.5454545455,0.5084745763,0.5684210526, The International 2022'
Shadow Fiend,151,71,80,18,24,21,1,3,3,1,0,61,14,5,0.5231788079,0.5492957746,0.5, The International 2022'
Pangolier,137,54,83,0,10,15,12,8,4,4,1,21,50,12,0.5547445255,0.462962963,0.6144578313, The International 2022'
Undying,134,63,71,22,23,4,4,8,0,1,1,53,17,1,0.5,0.4920634921,0.5070422535, The International 2022'
Morphling,128,37,91,0,1,16,1,3,9,1,6,18,52,21,0.4921875,0.4324324324,0.5164835165, The International 2022'
Batrider,119,18,101,0,0,5,1,3,3,0,6,12,54,35,0.4789915966,0.1666666667,0.5346534653, The International 2022'
Leshrac,111,55,56,1,21,9,6,8,6,3,1,27,22,7,0.5315315315,0.5636363636,0.5, The International 2022'
Broodmother,110,32,78,0,5,10,0,9,4,1,3,31,41,6,0.4727272727,0.625,0.4102564103, The International 2022'
Beastmaster,104,25,79,0,1,4,4,10,2,1,3,3,56,20,0.5288461538,0.48,0.5443037975, The International 2022'
Tiny,100,61,39,4,26,9,6,6,0,4,6,22,11,6,0.5,0.5081967213,0.4871794872, The International 2022'
Visage,93,27,66,0,9,5,2,5,2,1,3,22,31,13,0.5483870968,0.4814814815,0.5757575758, The International 2022'
Silencer,89,42,47,1,17,5,5,13,1,0,0,17,27,3,0.4719101124,0.4523809524,0.4893617021, The International 2022'
Clockwerk,84,39,45,8,17,1,5,6,1,0,1,28,15,2,0.5238095238,0.4615384615,0.5777777778, The International 2022'
Nyx Assassin,80,42,38,12,16,2,6,3,0,0,3,29,8,1,0.575,0.6666666667,0.4736842105, The International 2022'
Sniper,79,19,60,0,2,4,1,0,4,4,4,2,48,10,0.5443037975,0.5263157895,0.55, The International 2022'
Naga Siren,78,23,55,0,0,0,0,5,8,4,6,0,38,17,0.5897435897,0.652173913,0.5636363636, The International 2022'
Ember Spirit,77,24,53,0,1,2,1,7,5,4,4,1,31,21,0.3896103896,0.3333333333,0.4150943396, The International 2022'
Drow Ranger,73,22,51,0,0,6,0,3,8,3,2,0,32,19,0.4794520548,0.3181818182,0.5490196078, The International 2022'
