camps_stacked,sen_placed,sen_destroyed,obs_destroyed,obs_placed,match_id,start_time,win,hero_id,account_id,leaguename
10,28,9,4,13,6808030636,1665906774,false,66,145550466,The International 2022
10,24,9,6,9,6810862170,1666062699,false,31,117089283,The International 2022
9,28,3,2,7,6808212619,1665915090,false,75,91730177,The International 2022
9,22,8,3,9,6809734353,1666001030,false,79,113331514,The International 2022
8,24,2,5,18,6807818563,1665893897,false,43,125995177,The International 2022
8,21,5,5,7,6809743691,1666001280,false,75,117089283,The International 2022
8,1,1,2,2,6810903428,1666066994,false,52,221666230,The International 2022
7,42,9,5,18,6807805121,1665893156,false,85,94155156,The International 2022
7,30,11,4,15,6809456477,1665976290,false,87,100594231,The International 2022
7,29,4,9,18,6808178906,1665913512,false,5,86799300,The International 2022
7,13,5,2,7,6809576271,1665988471,false,75,401792574,The International 2022
7,12,8,6,7,6808255902,1665917017,false,123,155494381,The International 2022
7,10,3,1,6,6806648571,1665836880,false,86,16497807,The International 2022
7,10,2,1,5,6809858739,1666007871,false,79,401792574,The International 2022
6,33,9,5,10,6810986033,1666075050,false,5,117089283,The International 2022
6,31,5,3,16,6808134162,1665912013,false,101,159020918,The International 2022
6,22,5,1,7,6807772753,1665890189,false,85,117089283,The International 2022
6,21,4,1,9,6806648571,1665836880,false,58,91730177,The International 2022
6,17,2,3,6,6808446343,1665924418,false,128,119631156,The International 2022
6,16,7,7,13,6806534528,1665832638,false,119,401792574,The International 2022
6,4,3,1,3,6810014272,1666013901,false,128,155494381,The International 2022
5,31,9,5,13,6809894646,1666009512,false,3,86799300,The International 2022
5,30,7,7,11,6807758884,1665888812,false,68,145550466,The International 2022
5,29,6,6,11,6809656584,1665995169,false,136,117421467,The International 2022
5,27,9,4,10,6808012161,1665905824,false,5,117089283,The International 2022
5,25,5,4,9,6807826416,1665894752,false,31,100594231,The International 2022
5,24,7,10,8,6806047576,1665800879,false,128,100594231,The International 2022
5,23,9,3,11,6806047539,1665800889,false,3,86799300,The International 2022
5,13,5,2,8,6806322784,1665821263,false,128,155494381,The International 2022
5,12,4,2,5,6809660879,1665995620,false,128,16497807,The International 2022
5,9,3,1,5,6809621786,1665992481,false,123,155494381,The International 2022
5,8,2,1,6,6807880611,1665898217,false,58,159020918,The International 2022
5,5,2,2,3,6809894646,1666009512,false,101,86726887,The International 2022
5,4,4,2,5,6810862170,1666062699,false,88,155332459,The International 2022
5,4,1,1,6,6810103823,1666017374,false,19,155494381,The International 2022
5,1,2,5,2,6809576271,1665988471,false,65,93618577,The International 2022
4,48,7,6,27,6809580040,1665988742,false,20,86799300,The International 2022
4,31,5,5,19,6807826682,1665894700,false,31,86799300,The International 2022
4,31,5,3,12,6808199906,1665914769,false,85,54580962,The International 2022
4,30,10,7,13,6809481249,1665978755,false,128,10366616,The International 2022
4,25,8,5,12,6806638898,1665836609,false,75,100594231,The International 2022
4,25,4,1,12,6808255902,1665917017,false,85,100594231,The International 2022
