camps_stacked,sen_placed,sen_destroyed,obs_destroyed,obs_placed,match_id,start_time,win,hero_id,account_id,leaguename
13,33,14,9,16,6810950150,1666071533,true,87,100594231,The International 2022
12,28,8,5,11,6810825713,1666058620,true,87,117089283,The International 2022
11,25,6,7,11,6809742301,1666001163,true,87,143278997,The International 2022
10,19,3,2,6,6806632563,1665836245,true,128,54580962,The International 2022
9,37,7,6,16,6809580040,1665988742,true,75,117421467,The International 2022
9,28,6,4,8,6806244566,1665816707,true,75,100594231,The International 2022
9,15,12,5,9,6806751717,1665840771,true,58,91730177,The International 2022
9,15,6,4,3,6809980949,1666012890,true,111,401792574,The International 2022
9,12,5,3,3,6810863490,1666062580,true,87,87278757,The International 2022
8,19,6,4,6,6810974000,1666073824,true,31,10366616,The International 2022
8,17,5,1,3,6809419010,1665972176,true,66,90125566,The International 2022
8,10,7,5,3,6809561963,1665988250,true,75,105045291,The International 2022
8,9,2,2,6,6809585544,1665989233,true,7,157475523,The International 2022
8,8,5,2,3,6809895411,1666009596,true,66,87278757,The International 2022
8,5,4,6,12,6806767627,1665841527,true,19,139876032,The International 2022
8,3,1,1,5,6809701946,1665998423,true,88,155332459,The International 2022
7,30,9,6,16,6806790160,1665842051,true,97,86799300,The International 2022
7,30,3,5,16,6809456477,1665976290,true,103,86799300,The International 2022
7,27,3,6,10,6806472970,1665829811,true,5,117089283,The International 2022
7,26,4,1,7,6808373109,1665922313,true,50,117089283,The International 2022
7,18,9,2,11,6807935361,1665902254,true,123,103735745,The International 2022
7,16,7,7,4,6811064974,1666081778,true,85,100594231,The International 2022
7,12,3,2,5,6809991048,1666013421,true,75,16497807,The International 2022
7,7,1,1,4,6810903559,1666067171,true,111,401792574,The International 2022
7,4,5,2,2,6809656584,1665995169,true,121,86726887,The International 2022
6,26,6,5,13,6807935361,1665902254,true,75,10366616,The International 2022
6,25,10,7,10,6806097565,1665805421,true,5,16497807,The International 2022
6,22,8,3,6,6806174698,1665811802,true,5,117089283,The International 2022
6,21,9,2,9,6807714693,1665885708,true,75,119631156,The International 2022
6,20,4,3,9,6808011785,1665905941,true,31,148526973,The International 2022
6,18,6,7,9,6809417173,1665972026,true,58,91730177,The International 2022
6,17,7,2,8,6809991048,1666013421,true,40,91730177,The International 2022
6,17,5,1,10,6808178906,1665913512,true,111,401792574,The International 2022
6,14,5,4,5,6809455169,1665975954,true,123,105045291,The International 2022
6,14,2,1,8,6810862848,1666062818,true,51,103735745,The International 2022
6,12,3,4,8,6806291706,1665820032,true,103,401792574,The International 2022
6,11,5,2,6,6810950415,1666071278,true,86,16497807,The International 2022
